founded_year,country,region,industry,funding_round,funding_amount_usd,lead_investor,co_investors,employee_count,estimated_revenue_usd,estimated_valuation_usd,exited,exit_type,tags,funding_year,funding_month
2008,118,4,1,3,764048000,3,222,106,289877728.2639041,5187326540.27022,False,2,9902,2020,3
2006,91,4,3,3,379993000,5,28,735,45678346.05693925,1234200606.1289172,False,2,8045,2017,4
2010,234,5,6,3,2513368000,3,74,346,148949784.1666636,24528659082.469498,True,0,14580,2015,9
2013,64,4,1,4,1029083000,0,25,302,436947806.5552692,3806282552.27306,False,2,9250,2018,10
2012,124,0,3,6,265731000,2,148,286,49667517.95874642,1647014410.6725297,False,2,4764,2020,1
2013,236,5,1,5,265056000,5,139,169,64773128.487542085,1147648247.8746576,False,2,10794,2024,8
2006,101,1,5,1,145203000,1,38,218,26349275.73056668,715980709.8541913,False,2,8031,2021,11
2009,76,0,4,3,625103000,5,73,440,159545971.9048098,5176732791.957256,False,2,14282,2018,2
2006,91,4,4,4,476528000,2,174,396,150862358.3518111,1130135378.1810806,False,2,6788,2021,2
2008,60,5,0,5,92298000,2,39,447,29848728.633359533,310508284.5447171,False,2,17441,2016,9
2010,178,3,3,6,228501000,1,201,158,81781618.85597447,1261604279.7759411,False,2,6020,2022,2
2015,40,2,3,2,320981000,1,112,248,33676429.59642038,1913501038.275405,False,2,2773,2018,2
2007,191,3,5,2,1093396000,6,204,273,208040439.68833596,6735914352.669869,False,2,7457,2022,2
2016,103,2,0,4,115505000,3,0,348,34191746.86699548,401822911.083808,True,2,9231,2020,6
2007,232,5,1,2,996808000,0,74,340,89534915.2934164,3556474280.9784265,True,1,11303,2025,3
2023,64,3,6,3,534189000,4,112,101,37581414.10612415,2458681072.480779,False,2,16351,2024,11
2008,17,4,6,5,86997000,2,111,198,36793804.68766068,422285753.2988975,False,2,4963,2020,4
2012,154,4,6,5,200420000,2,11,858,35358202.494195186,1270977191.8926094,True,1,4965,2019,5
2020,120,1,5,3,631904000,0,148,4,52794182.47471986,6252750422.284906,False,2,13580,2023,7
2009,34,1,2,3,289644000,0,254,767,115136428.78117248,1039742438.8982706,False,2,9559,2024,11
2021,230,3,4,1,1375186000,5,74,192,546047382.3399465,3564973347.516774,True,1,15486,2021,7
2023,237,3,3,4,1232319000,4,203,325,260400807.66027725,3606939148.5195866,False,2,11481,2023,10
2013,47,2,4,5,636914000,1,38,11,126684813.07045013,1597677624.9125798,False,2,2068,2022,5
2011,117,3,2,2,1293807000,1,111,380,245748347.12038916,5953409666.571676,False,2,6788,2021,1
2022,45,0,1,2,1081412000,3,7,762,485819727.8687277,6248095093.193872,False,2,17887,2021,3
2011,164,5,1,6,1966693000,5,38,96,204176974.84721136,15155254242.54363,False,2,971,2018,1
2013,185,1,1,4,658378000,6,186,116,261333423.5018558,3917589257.145559,True,2,5306,2019,12
2023,160,3,4,4,2402067000,0,38,922,685141025.6738033,13019991370.76373,False,2,10505,2016,11
2022,229,2,0,5,486870000,3,74,832,93216223.42798404,2954602499.2588706,False,2,276,2023,5
2012,46,0,4,5,318409000,0,75,881,145960250.02835003,1271833115.1285129,False,2,13220,2017,9
2012,8,1,3,5,2248297000,4,38,992,343897653.08614326,5881183602.626766,False,2,10878,2020,6
2005,12,4,2,3,250172000,1,0,612,45128065.215254426,823008414.9992703,False,2,16144,2018,2
2017,160,3,4,3,1210982000,6,25,949,498503688.5623495,4229427864.399436,False,2,14933,2018,6
2015,10,3,2,5,635156000,0,64,684,286869191.46020514,4010843688.049417,False,2,17483,2018,7
2017,195,5,1,6,204381000,5,60,855,31182577.404968064,1107103735.577783,True,0,16214,2017,6
2019,116,2,6,5,308529000,5,105,175,128998024.97188538,2741540768.971971,False,2,5969,2020,10
